src,tgt
522+949+648=,2119
(820*196)+825=,161545
(303-528)-155=,-380
887+(375-475)-789=,-2
(982-105)=,877
938*(758-526)-958=,216658
(771+562)=,1333
(411*645)*854=,226391130
530*778*733-155=,302245065
102+946-646-189=,213
747*(174-627)=,-338391
(524+882)+117=,1523
788*838+342*982=,996188
(297+580)*(355*653)=,203301755
(815-924)+405=,296
530*650+879+504=,345883
675-879*(918*101)=,-81498447
925-548*377=,-205671
233+(739-761)+352=,563
366*977=,357582
(905*719)+610=,651305
(136+333)+146-640=,-25
(566-299)+846*128=,108555
(842+281)*977=,1097171
(590+586)-447=,729
(955*230)+(406-668)=,219388
200*699-261+390=,139929
(840*704)-910+297=,590747
(673-381)=,292
876+136+(540*301)=,163552
(724+520)+(788*389)=,307776
(618*576)-875=,355093
648*566=,366768
554+330*761=,251684
933*781=,728673
994+(734-517)-296=,915
(413*536)-451=,220917
(825*272)*141-126=,31640274
418*657*743*254=,51827967972
594*960=,570240
388+(590-673)=,305
(136+260)-888=,-492
(543+437)*113=,110740
(879*251)=,220629
274-238=,36
(450*430)=,193500
(961-893)*811=,55148
560-469=,91
(721-130)*546=,322686
(475*956)+494=,454594
(740-932)=,-192
829+350=,1179
(208-463)*929-426=,-237321
(850-906)=,-56
875*955=,835625
664-336+951=,1279
(437+837)=,1274
815*952-750=,775130
458+536-322=,672
(810-437)*924=,344652
(897+597)*817=,1220598
(791*302)*(777-922)=,-34637890
(641-114)=,527
(529*494)+(716-639)=,261403
592+330-888=,34
(866+685)*565=,876315
(867*916)*377=,299402844
(629+956)=,1585
426+693=,1119
(703-653)-953=,-903
(781*813)*623-578=,395575141
(963-440)*843=,440889
386*(383+694)=,415722
(195-317)=,-122
(297-631)*220=,-73480
(680-951)=,-271
752+452=,1204
578*972+679=,562495
687+925*245-904=,226408
(275*437)+745*451=,456170
229+(733+174)=,1136
(482+741)=,1223
665*723=,480795
(672-347)*(267-644)=,-122525
(320+931)+382=,1633
(508+409)=,917
(782+723)=,1505
(128*317)=,40576
(609+136)=,745
881+251+(225*975)=,220507
532-472+383=,443
(822+586)-232-345=,831
(628+258)=,886
(254+532)+227-825=,188
(718*421)+752=,303030
744*685*878=,447463920
(114*620)*(782*860)=,47533713600
290*(977-425)-702=,159378
108+270=,378
704+779+667=,2150
(642*906)+583-993=,581242
(442-447)*(394*877)=,-1727690
455+745=,1200
(998-413)*404=,236340
(996+848)+910=,2754
(423*337)-291=,142260
(191-606)=,-415
(347+122)=,469
305-612*775=,-473995
812-(756*179)=,-134512
(724*775)=,561100
(633*985)=,623505
119+341-373=,87
(613-151)=,462
(321+123)=,444
(997+739)+(201+552)=,2489
392-575=,-183
154*193=,29722
(409*480)=,196320
388*406=,157528
(777+715)+113=,1605
670+(816-346)=,1140
(477-441)=,36
(459+612)=,1071
938*(417*479)+168=,187359102
468+(211-464)*583=,-147031
(418+413)=,831
(761+910)+159=,1830
(634-940)=,-306
(548-454)+194*393=,76336
(647+380)=,1027
801+(432-697)*963=,-254394
131*508=,66548
(531+280)-(972*807)=,-783593
(131+186)=,317
640-(226*711)+599=,-159447
(293+758)=,1051
(599+551)-(430*943)=,-404340
(422-923)*536=,-268536
608+(145-221)+724=,1256
900*(479-936)-432=,-411732
910*804-539-976=,730125
(578-305)*872-867=,237189
374*(875+546)=,531454
(134+642)-689=,87
262-(762-143)=,-357
(657*494)+866=,325424
(289*774)-643=,223043
(303+762)-451=,614
(575+210)=,785
(366+296)=,662
(934*883)=,824722
(787-116)=,671
309*(648-650)*229=,-141522
939*577=,541803
421-604=,-183
414*563=,233082
419*994=,416486
931*588=,547428
(486+920)+621=,2027
391*830=,324530
342*(246-427)=,-61902
855*508=,434340
308-614=,-306
800-317=,483
475*(766*513)=,186655050
(406*320)=,129920
(914-316)+701+508=,1807
(130*334)-510=,42910
(120*950)+463=,114463
(496-682)+980=,794
906-435=,471
826*829*407=,278694878
(506-230)=,276
(100+205)=,305
(358*840)*(519*770)=,120176733600
582+100-(193+761)=,-272
936-152=,784
934-663=,271
(394+366)-(234-399)=,925
959+551+(181*887)=,162057
(359-801)=,-442
(931+588)=,1519
(362*298)*438=,47249688
(897*279)=,250263
(509-737)=,-228
(962+811)-(995-796)=,1574
166*(394-160)=,38844
(413-111)+247-417=,132
(296-292)+294=,298
607+636=,1243
(900-334)+898+992=,2456
615-857-640=,-882
824-783+418=,459
(530*720)-(584+399)=,380617
(448*822)-250+491=,368497
928+335=,1263
807-183*(348-114)=,-42015
(495*147)=,72765
902*651+123*628=,664446
215*600=,129000
(292+195)-(869+304)=,-686
(338*122)=,41236
330+734=,1064
(195+265)+102=,562
(668+892)+383=,1943
(201-740)=,-539
235*131*857=,26382745
845+985+743-578=,1995
(374-859)*718=,-348230
(139*978)*733=,99645486
(982+525)=,1507
(867*356)+259=,308911
598*916=,547768
954+779-684=,1049
188*611=,114868
(998+153)=,1151
(105-559)-(485+193)=,-1132
(967-743)*388=,86912
135*296=,39960
(262*115)-(872*667)=,-551494
125+(886-754)*979=,129353
299*514=,153686
(900-266)-400*923=,-368566
133-403=,-270
371-205+206=,372
(452+631)*670-929=,724681
(945*722)+462*739=,1023708
(880*745)*(829+797)=,1066005600
834*(804*544)*891=,325011481344
(164+409)+522+164=,1259
(860-933)*277-765=,-20986
930+532+316=,1778
788-238=,550
797*323=,257431
606+505-520+386=,977
(228*226)*691=,35605848
876+(578*215)=,125146
(578+631)=,1209
288+(543-119)=,712
(791-714)-(771*720)=,-555043
286-256=,30
866-(359+196)=,311
(207*750)-705-712=,153833
787*114-738=,88980
(631-666)=,-35
556*379-(713+386)=,209625
(334*150)*(919*774)=,35636430600
932*(242+687)=,865828
(496+991)*674=,1002238
(386-655)-554=,-823
(607-602)=,5
722+(712-937)=,497
(730-505)-186=,39
(139+449)*(809-283)=,309288
(859*604)*551-324=,285878312
(827+539)=,1366
705*812=,572460
511*304=,155344
(431*355)=,153005
244-858=,-614
264-207-(122+329)=,-394
201-907*821=,-744446
207*329+465+498=,69066
(680-110)=,570
782+867+(111*303)=,35282
329+166*(888+476)=,226753
(142+992)-(633-894)=,1395
170+495=,665
(564+912)=,1476
451-535=,-84
982+113*674=,77144
827-(184+172)=,471
390*400=,156000
541-582-862=,-903
(103-203)*597+932=,-58768
369-861+(331-149)=,-310
(551+949)+206=,1706
816*(159+748)=,740112
814+698*(453*690)=,218174674
113*777+(294-751)=,87344
596-934=,-338
288+322+527=,1137
932-(488-400)=,844
(428-543)-933*746=,-696133
(578+884)=,1462
(803*243)=,195129
231-(668-220)=,-217
150-619+428=,-41
(157+447)=,604
(263*219)-742=,56855
(411+190)*408=,245208
931-(681-585)=,835
(259+932)=,1191
512-(914-325)=,-77
(977-784)+567=,760
(171+217)-219*999=,-218393
559+(761*281)=,214400
911+712=,1623
535+161+266=,962
947*451*379=,161869763
(628-996)-379=,-747
(526+394)=,920
630-697=,-67
(495+153)*190=,123120
(936*716)=,670176
935-322=,613
525-394*(345-591)=,97449
709*(799+772)=,1113839
272*639=,173808
254*(932+660)*857=,346543376
(998+547)=,1545
(578-925)+749*484=,362169
398+150=,548
599+483=,1082
163*996+941=,163289
(702-420)*512*554=,79988736
(353*438)=,154614
(663*172)*854=,97386744
(559+407)=,966
(754+475)+281=,1510
752*(759*624)-292=,356158940
145*601=,87145
(795+421)=,1216
648+773-(474+396)=,551
(776+223)*996=,995004
190*(513-146)=,69730
(424+843)=,1267
649-489=,160
149+641=,790
612-(189*734)=,-138114
502+753=,1255
(645*724)+320-207=,467093
(489*521)-753=,254016
523*(768-947)-951=,-94568
(112-585)*(201-326)=,59125
(346+587)+867=,1800
(849+117)*892=,861672
929*(313+858)-888=,1086971
864*939*722=,585755712
(662-243)*(513*638)=,137136186
(521-295)=,226
(505+375)=,880
547-208+(986*380)=,375019
(571+244)=,815
599-282=,317
(904*217)=,196168
362+(262-694)*310=,-133558
525*702=,368550
126-387-245*136=,-33581
504*462*267=,62170416
(237*982)=,232734
(610+981)+421*264=,112735
378+498=,876
322+689+786*318=,250959
416-(956-659)=,119
359-949=,-590
570-913*(497*857)=,-388872607
769-692=,77
940-(579-836)=,1197
(239+984)*851-259=,1040514
(583+841)=,1424
(812+789)+139=,1740
156-897=,-741
730*215=,156950
349*(155+744)+145=,313896
799+(939+520)+495=,2753
(772*217)=,167524
196+(137+717)=,1050
(610+661)=,1271
(377-758)-829=,-1210
(817*971)=,793307
(292-930)-345=,-983
925+(335*426)=,143635
877*(284-110)-554=,152044
173*723-(243+844)=,123992
(260+948)-409=,799
440-661*325+766=,-213619
(341-859)=,-518
707+(276-754)+557=,786
(768+171)-215=,724
(879*640)*621+235=,349349995
841+(710*953)=,677471
(190+626)=,816
903*785=,708855
(134+807)=,941
276*655*(550+947)=,270627660
(413-604)+431=,240
(222+570)=,792
812*(861+390)+974=,1016786
994*138=,137172
742*(106*216)=,16988832
(858-437)=,421
980-667*805=,-535955
(218*307)+689=,67615
324-(134-131)*562=,-1362
819-372=,447
832*301=,250432
745*745=,555025
(826-731)=,95
(489*509)-549=,248352
(572*998)=,570856
(469+419)=,888
497-754*(217+973)=,-896763
388*621=,240948
(989*585)-748=,577817
299+(793+617)=,1709
(661+192)-451=,402
282-341=,-59
(622-941)+850=,531
(153*569)=,87057
(196+178)+782=,1156
(743*762)+202*739=,715444
(267-207)=,60
650+(683-628)=,705
(593+506)=,1099
(511+517)*281*877=,253337236
268-849*727=,-616955
(692*196)*(550-169)=,51675792
(872*328)=,286016
(799*587)+(341+260)=,469614
(438-858)*842=,-353640
(984+378)=,1362
(421-869)-293=,-741
188+565+489*157=,77526
641-(644*963)=,-619531
(136-890)+190=,-564
(434-661)*658=,-149366
994*141=,140154
413-914+857*107=,91198
939*395=,370905
271-909=,-638
(433-783)*(585-236)=,-122150
389-127*694*585=,-51560341
189*673*(240+522)=,96924114
(199*745)-825+279=,147709
(257-573)=,-316
(267*214)-(643-334)=,56829
(724*400)=,289600
(730+525)-433=,822
(671+337)+946=,1954
273*(665*212)=,38487540
(283*752)+948+586=,214350
(711-242)=,469
443-842+879=,480
(748*821)=,614108
622+418+372*231=,86972
291-372=,-81
389-983-653=,-1247
(762-478)+202=,486
373*293=,109289
(277*273)+(143*246)=,110799
550+360=,910
519*(639*115)=,38138715
870-371+779=,1278
914+185=,1099
540+551-436=,655
(686+363)*999=,1047951
(846+138)-250=,734
(442*462)+352*642=,430188
(313+708)-(536*879)=,-470123
(796-481)-632=,-317
885*402*666=,236942820
(923*692)=,638716
(141-918)*695=,-540015
(659*493)-873=,324014
639*544=,347616
893+115=,1008
(834-394)+837*875=,732815
183-900+401=,-316
(952+906)+(125+722)=,2705
(517-434)-817*764=,-624105
